"Rapport de Gestion - Ventes par produits"
Etablissement;"Aloha the poke bar";83967029600012
"Période du";"2018-07-16 06:00:00";au;"2021-07-22 06:00:00"
"Généré le";"2021-07-21 11:53:45"

"Tous les prix sont exprimés en";EUR

Catégorie;Produit;export.report.sales.menu;Type;"TVA (%)";"Coût unitaire";Quantité;"Prix HT théorique";"Total HT théorique";"Marge théorique unitaire";"Marge théorique";"Remises / produit";"Remise / transaction";"Prix unitaire HT";"Total HT";"Marge brut unitaire";"Marge brut";"Taux de marge sur coût variable";"Total TTC"
Bière;IPA;"A EMPORTER";;20,00;0,00;120,00;4,17;500,00;4,17;500,00;0,00;0,00;4,17;500,00;4,17;500,00;1,00;600,00
Bière;IPA;"SUR PLACE";;20,00;0,00;413,00;4,17;1720,83;4,17;1720,83;5,00;0,00;4,16;1716,67;4,16;1716,67;1,00;2060,00
"BIERE DELI";IPA;Deliveroo;;20,00;0,00;53,00;5,15;272,92;5,15;272,92;0,00;0,00;5,15;272,92;5,15;272,92;1,00;327,50
BOISSONS;JUS;"SUR PLACE";;5,50;0,00;192,00;2,84;545,97;2,84;545,97;6,00;0,00;2,81;540,28;2,81;540,28;1,00;570,00
BOISSONS;JUS;"Prix de base";;5,50;0,00;6,00;2,84;17,06;2,84;17,06;0,00;0,00;2,84;17,06;2,84;17,06;1,00;18,00
BOISSONS;JUS;"À la carte";;5,50;0,00;30,00;2,84;85,31;2,84;85,31;0,00;0,00;2,84;85,31;2,84;85,31;1,00;90,00
"BOISSONS VAE";JUS;"À la carte";;5,50;0,00;3,00;2,84;8,53;2,84;8,53;0,00;0,00;2,84;8,53;2,84;8,53;1,00;9,00
"BOISSONS VAE";JUS;"A EMPORTER";;5,50;0,00;140,00;2,84;398,10;2,84;398,10;0,00;0,00;2,84;398,10;2,84;398,10;1,00;420,00
"BOISSON DELI";JUS;Deliveroo;;5,50;0,00;151,00;3,44;518,96;3,44;518,96;0,00;0,52;3,43;518,46;3,43;518,46;1,00;546,98
"BOISSON DELI";"Jus ACE";"Prix de base";;5,50;0,00;2,00;3,79;7,58;3,79;7,58;0,00;0,00;3,79;7,58;3,79;7,58;1,00;8,00
"BOISSON DELI";"Jus de pomme";Deliveroo;;5,50;0,00;1,00;3,79;3,79;3,79;3,79;0,00;0,00;3,79;3,79;3,79;3,79;1,00;4,00
"BOISSON DELI";"Jus de tomate";"Prix de base";;5,50;0,00;4,00;3,79;15,17;3,79;15,17;0,00;1,37;3,47;13,87;3,47;13,87;1,00;14,63
"BOISSON DELI";"Jus de tomate";Deliveroo;;5,50;0,00;1,00;3,79;3,79;3,79;3,79;0,00;0,00;3,79;3,79;3,79;3,79;1,00;4,00
SIGNATURE;"KA MOA";"SUR PLACE";;10,00;0,00;415,00;10,61;4401,36;10,61;4401,36;11,50;0,00;10,58;4390,91;10,58;4390,91;1,00;4830,00
SIGNATURE;"KA MOA";"À la carte";;10,00;0,00;216,00;10,91;2356,36;10,91;2356,36;0,00;0,00;10,91;2356,36;10,91;2356,36;1,00;2592,00
SIGNATURE;"KA MOA";"Prix de base";;10,00;0,00;11,00;10,54;115,91;10,54;115,91;0,00;0,00;10,54;115,91;10,54;115,91;1,00;127,50
"SIGNATURE VAE";"KA MOA";"Prix de base";;5,50;0,00;18,00;10,90;196,21;10,90;196,21;0,00;0,00;10,90;196,21;10,90;196,21;1,00;207,00
"SIGNATURE VAE";"KA MOA";"A EMPORTER";;5,50;0,00;999,00;11,06;11045,97;11,06;11045,97;0,00;0,00;11,06;11045,97;11,06;11045,97;1,00;11653,50
"SIGNATURE DELI";"KA MOA";Deliveroo;;5,50;0,00;851,00;12,52;10655,73;12,52;10655,73;0,00;13,11;12,51;10643,31;12,51;10643,31;1,00;11228,69
"SIGNATURE DELI";"KA MOA";"Prix de base";;10,00;0,00;51,00;13,55;690,82;13,55;690,82;0,00;1,06;13,53;689,85;13,53;689,85;1,00;758,84
"BOISSONS CHAUDES";LATTE;"SUR PLACE";;5,50;0,00;11,00;2,84;31,28;2,84;31,28;3,00;0,00;2,59;28,44;2,59;28,44;1,00;30,00
"BOISSONS CHAUDES";LATTE;"À la carte";;5,50;0,00;11,00;2,84;31,28;2,84;31,28;0,00;0,00;2,84;31,28;2,84;31,28;1,00;33,00
"CAFES VAE";LATTE;"A EMPORTER";;5,50;0,00;9,00;2,84;25,59;2,84;25,59;3,00;0,00;2,53;22,75;2,53;22,75;1,00;24,00
"CAFES VAE";LATTE;"À la carte";;5,50;0,00;1,00;2,84;2,84;2,84;2,84;0,00;0,00;2,84;2,84;2,84;2,84;1,00;3,00
"BOISSONS CHAUDES";LUNGO;"SUR PLACE";;5,50;0,00;218,00;1,71;371,94;1,71;371,94;5,40;0,00;1,68;366,82;1,68;366,82;1,00;387,00
"BOISSONS CHAUDES";LUNGO;"À la carte";;5,50;0,00;75,00;1,71;127,96;1,71;127,96;3,60;0,00;1,66;124,55;1,66;124,55;1,00;131,40
"BOISSONS CHAUDES";LUNGO;"Prix de base";;5,50;0,00;6,00;1,71;10,24;1,71;10,24;0,00;0,00;1,71;10,24;1,71;10,24;1,00;10,80
"CAFES VAE";LUNGO;"A EMPORTER";;5,50;0,00;149,00;1,71;254,22;1,71;254,22;7,20;0,00;1,66;247,39;1,66;247,39;1,00;261,00
"CAFES VAE";LUNGO;"Prix de base";;5,50;0,00;4,00;1,71;6,82;1,71;6,82;0,00;0,00;1,71;6,82;1,71;6,82;1,00;7,20
"CAFES VAE";LUNGO;"À la carte";;5,50;0,00;3,00;1,71;5,12;1,71;5,12;0,00;0,00;1,71;5,12;1,71;5,12;1,00;5,40
VARIOUS;Mangue;"Prix de base";;5,50;0,00;175,00;0,03;4,74;0,03;4,74;0,00;0,00;0,03;4,74;0,03;4,74;1,00;5,00
SIGNATURE;Maui;"Prix de base";;5,50;0,00;6,00;11,85;71,09;11,85;71,09;0,00;0,00;11,85;71,09;11,85;71,09;1,00;75,00
SIGNATURE;Maui;"A EMPORTER";;5,50;0,00;98,00;11,85;1161,14;11,85;1161,14;0,00;0,00;11,85;1161,14;11,85;1161,14;1,00;1225,00
SIGNATURE;Maui;"À la carte";;5,50;0,00;1,00;11,85;11,85;11,85;11,85;0,00;0,00;11,85;11,85;11,85;11,85;1,00;12,50
"SIGNATURE DELI";MAUI;Deliveroo;;5,50;0,00;44,00;13,18;579,72;13,18;579,72;2,08;2,08;13,09;575,77;13,09;575,77;1,00;607,44
BOISSONS;"MAY TEA";"À la carte";;5,50;0,00;44,00;2,37;104,27;2,37;104,27;2,50;0,00;2,32;101,90;2,32;101,90;1,00;107,50
BOISSONS;"MAY TEA";"SUR PLACE";;5,50;0,00;177,00;2,37;419,43;2,37;419,43;0,00;0,00;2,37;419,43;2,37;419,43;1,00;442,50
BOISSONS;"MAY TEA";"Prix de base";;5,50;0,00;7,00;2,37;16,59;2,37;16,59;0,00;0,00;2,37;16,59;2,37;16,59;1,00;17,50
"BOISSONS VAE";"MAY TEA";"A EMPORTER";;5,50;0,00;228,00;2,37;540,28;2,37;540,28;2,50;0,00;2,36;537,91;2,36;537,91;1,00;567,50
"BOISSONS VAE";"MAY TEA";"À la carte";;5,50;0,00;3,00;2,37;7,11;2,37;7,11;0,00;0,00;2,37;7,11;2,37;7,11;1,00;7,50
"BOISSONS VAE";"MAY TEA";"Prix de base";;5,50;0,00;1,00;2,37;2,37;2,37;2,37;0,00;0,00;2,37;2,37;2,37;2,37;1,00;2,50
"BOISSON DELI";"MAY TEA";Deliveroo;;5,50;0,00;250,00;3,02;755,83;3,02;755,83;0,45;0,90;3,02;754,55;3,02;754,55;1,00;796,05
"BOISSON DELI";"MAY TEA";"À la carte";;5,50;0,00;1,00;3,32;3,32;3,32;3,32;0,00;0,00;3,32;3,32;3,32;3,32;1,00;3,50
"BOISSON DELI";"May tea menthe";"Prix de base";;5,50;0,00;5,00;3,32;16,59;3,32;16,59;0,00;0,00;3,32;16,59;3,32;16,59;1,00;17,50
"BOISSON DELI";"May tea menthe";Deliveroo;;5,50;0,00;2,00;3,32;6,64;3,32;6,64;0,00;0,00;3,32;6,64;3,32;6,64;1,00;7,00
"BOISSON DELI";"May tea peche";"Prix de base";;5,50;0,00;41,00;3,32;136,02;3,32;136,02;0,00;5,42;3,19;130,88;3,19;130,88;1,00;138,08
"BOISSON DELI";"May tea peche";Deliveroo;;5,50;0,00;3,00;3,32;9,95;3,32;9,95;0,00;0,00;3,32;9,95;3,32;9,95;1,00;10,50
VARIOUS;"oignons frits";"Prix de base";;5,50;0,00;159,00;0,23;36,81;0,23;36,81;0,00;-0,01;0,23;36,82;0,23;36,82;1,00;38,84
VARIOUS;"Oignons rouges";"Prix de base";;5,50;0,00;188,00;0,06;11,37;0,06;11,37;0,00;0,00;0,06;11,37;0,06;11,37;1,00;12,00
"SIGNATURE VAE";PACIFIC;"A EMPORTER";;5,50;0,00;286,00;12,09;3458,39;12,09;3458,39;0,00;0,00;12,09;3458,39;12,09;3458,39;1,00;3648,60
SIGNATURE;PACIFIC;"Prix de base";;10,00;0,00;16,00;11,73;187,64;11,73;187,64;0,00;0,00;11,73;187,64;11,73;187,64;1,00;206,40
SIGNATURE;PACIFIC;"SUR PLACE";;10,00;0,00;180,00;11,36;2045,45;11,36;2045,45;12,50;0,00;11,30;2034,09;11,30;2034,09;1,00;2237,50
SIGNATURE;PACIFIC;"À la carte";;10,00;0,00;22,00;11,73;258,00;11,73;258,00;0,00;0,00;11,73;258,00;11,73;258,00;1,00;283,80
"SIGNATURE VAE";Pacific;"A EMPORTER";;5,50;0,00;58,00;12,23;709,19;12,23;709,19;0,00;0,00;12,23;709,19;12,23;709,19;1,00;748,20
"SIGNATURE DELI";PACIFIC;Deliveroo;;5,50;0,00;144,00;13,19;1899,15;13,19;1899,15;0,00;0,00;13,19;1899,15;13,19;1899,15;1,00;2003,60
"SIGNATURE DELI";PACIFIC;"Prix de base";;5,50;0,00;10,00;15,07;150,71;15,07;150,71;0,00;0,00;15,07;150,71;15,07;150,71;1,00;159,00
DESSERTS;PANACOTTA;"Prix de base";;10,00;0,00;15,00;3,18;47,73;3,18;47,73;0,00;0,00;3,18;47,73;3,18;47,73;1,00;52,50
DESSERTS;PANACOTTA;"SUR PLACE";;10,00;0,00;189,00;3,18;601,36;3,18;601,36;17,50;0,00;3,10;585,45;3,10;585,45;1,00;644,00
DESSERTS;PANACOTTA;"À la carte";;10,00;0,00;63,00;3,18;200,45;3,18;200,45;0,00;0,00;3,18;200,45;3,18;200,45;1,00;220,50
